,_id,blog,byline,document_type,headline,keywords,multimedia,new_desk,print_page,pub_date,score,section_name,slideshow_credits,snippet,source,type_of_material,uri,web_url,word_count
0,59f8e87895d0e0246f21338c,{},{'original': 'By JENNIFER SCHUESSLER'},article,"{'main': 'A Refusal to Compromise? Civil War Historians Beg to Differ.', 'print_headline': 'A Refusal to Compromise? Civil War Historians Beg to Differ.'}","[{'isMajor': 'N', 'rank': 1, 'name': 'subject', 'value': 'Civil War (US) (1861-65)'}, {'isMajor': 'N', 'rank': 2, 'name': 'subject', 'value': 'Thirteenth Amendment (US Constitution)'}, {'isMajor': 'N', 'rank': 3, 'name': 'subject', 'value': 'Slavery (Historical)'}, {'isMajor': 'N', 'rank': 4, 'name': 'persons', 'value': 'Kelly, John F (1950- )'}, {'isMajor': 'N', 'rank': 5, 'name': 'persons', 'value': 'Lee, Robert E'}, {'isMajor': 'N', 'rank': 6, 'name': 'persons', 'value': 'Lincoln, Abraham'}]","[{'type': 'image', 'subtype': 'xlarge', 'url': 'images/2017/11/01/arts/01compromise1/01compromise1-articleLarge.jpg', 'height': 400, 'width': 600, 'rank': 0, 'legacy': {'xlargewidth': 600, 'xlarge': 'images/2017/11/01/arts/01compromise1/01compromise1-articleLarge.jpg', 'xlargeheight': 400}}, {'type': 'image', 'subtype': 'wide', 'url': 'images/2017/11/01/arts/01compromise1/01compromise1-thumbWide.jpg', 'height': 126, 'width': 190, 'rank': 0, 'legacy': {'wide': 'images/2017/11/01/arts/01compromise1/01compromise1-thumbWide.jpg', 'widewidth': 190, 'wideheight': 126}}, {'type': 'image', 'subtype': 'thumbnail', 'url': 'images/2017/11/01/arts/01compromise1/01compromise1-thumbStandard.jpg', 'height': 75, 'width': 75, 'rank': 0, 'legacy': {'thumbnailheight': 75, 'thumbnail': 'images/2017/11/01/arts/01compromise1/01compromise1-thumbStandard.jpg', 'thumbnailwidth': 75}}]",Culture,,2017-10-31T21:17:28+0000,1.0,,,Historians respond to John Kelly’s claim that “the lack of an ability to compromise” led to the Civil War.,The New York Times,News,nyt://article/930a2879-3d32-5c10-b3c8-d1c7853115be,https://www.nytimes.com/2017/10/31/arts/a-refusal-to-compromise-civil-war-historians-beg-to-differ.html,1171
1,59f8d4fb95d0e0246f213348,{},{'original': 'By REUTERS'},article,"{'main': 'Viacom Looks to U.S. Mobile Deals as Young Viewers Flee TV', 'print_headline': 'Viacom Looks to U.S. Mobile Deals as Young Viewers Flee TV'}",[],[],None,,2017-10-31T19:54:27+0000,1.0,,,Viacom Inc is trying a new tactic in its multi-front effort to win back younger U.S. viewers ditching expensive cable TV packages: seeking deals directly with mobile phone networks.,Reuters,News,nyt://article/3e0f4041-3d75-5cbe-a393-abdc49e9ce54,https://www.nytimes.com/reuters/2017/10/31/arts/31reuters-viacom-mobile.html,572
2,59f8cf5195d0e0246f213338,{},{'original': 'By MICHAEL COOPER'},article,"{'main': 'After 25 Years, Michael Tilson Thomas Will Leave San Francisco Symphony', 'print_headline': 'After 25 Years, Michael Tilson Thomas Will Leave San Francisco Symphony'}","[{'isMajor': 'N', 'rank': 1, 'name': 'subject', 'value': 'Classical Music'}, {'isMajor': 'N', 'rank': 2, 'name': 'organizations', 'value': 'San Francisco Symphony'}, {'isMajor': 'N', 'rank': 3, 'name': 'persons', 'value': 'Thomas, Michael Tilson'}]","[{'type': 'image', 'subtype': 'xlarge', 'url': 'images/2017/11/01/arts/01symphony1/01symphony1-articleLarge.jpg', 'height': 774, 'width': 600, 'rank': 0, 'legacy': {'xlargewidth': 600, 'xlarge': 'images/2017/11/01/arts/01symphony1/01symphony1-articleLarge.jpg', 'xlargeheight': 774}}, {'type': 'image', 'subtype': 'wide', 'url': 'images/2017/11/01/arts/01symphony1/01symphony1-thumbWide.jpg', 'height': 126, 'width': 190, 'rank': 0, 'legacy': {'wide': 'images/2017/11/01/arts/01symphony1/01symphony1-thumbWide.jpg', 'widewidth': 190, 'wideheight': 126}}, {'type': 'image', 'subtype': 'thumbnail', 'url': 'images/2017/11/01/arts/01symphony1/01symphony1-thumbStandard.jpg', 'height': 75, 'width': 75, 'rank': 0, 'legacy': {'thumbnailheight': 75, 'thumbnail': 'images/2017/11/01/arts/01symphony1/01symphony1-thumbStandard.jpg', 'thumbnailwidth': 75}}]",Culture,,2017-10-31T19:30:13+0000,1.0,Music,,"The conductor, who helped spur American classical music’s westward expansion, will step down as the orchestra’s music director in 2020, when he will be 75.",The New York Times,News,nyt://article/308ef3f8-a991-59be-8de3-c24f41fbb3cd,https://www.nytimes.com/2017/10/31/arts/music/michael-tilson-thomas-san-francisco-symphony.html,672
3,59f8ce1e95d0e0246f213336,{},{'original': 'By REUTERS'},article,"{'main': 'Associate of Former FIFA Vice President Sentenced to 15 Months', 'print_headline': 'Associate of Former FIFA Vice President Sentenced to 15 Months'}",[],[],None,,2017-10-31T19:24:38+0000,1.0,,,"A former general secretary of the Cayman Islands Football Association was sentenced to 15 months in prison on Tuesday after he pleaded guilty in a money laundering conspiracy, the second person sentenced in a U.S. investigation of bribery involvin...",Reuters,News,nyt://article/def9b31b-d475-54cb-a9a4-b5e5ccb498ea,https://www.nytimes.com/reuters/2017/10/31/arts/31reuters-soccer-fifa-sentencing.html,300
4,59f8cceb95d0e0246f213334,{},{'original': 'By JOSHUA BARONE'},article,"{'main': 'Hear 9 New Psalm Settings for Challenging Times', 'print_headline': 'Hear 9 New Psalm Settings for Challenging Times'}","[{'isMajor': 'N', 'rank': 1, 'name': 'subject', 'value': 'Classical Music'}, {'isMajor': 'N', 'rank': 2, 'name': 'subject', 'value': 'White Light Festival (Lincoln Center, NYC)'}, {'isMajor': 'N', 'rank': 3, 'name': 'organizations', 'value': 'Lincoln Center for the Performing Arts'}, {'isMajor': 'N', 'rank': 4, 'name': 'persons', 'value': 'Fairouz, Mohammed'}, {'isMajor': 'N', 'rank': 5, 'name': 'persons', 'value': 'Lang, David'}, {'isMajor': 'N', 'rank': 6, 'name': 'persons', 'value': 'Moss, Jane S'}, {'isMajor': 'N', 'rank': 7, 'name': 'persons', 'value': 'Muhly, Nico'}, {'isMajor': 'N', 'rank': 8, 'name': 'persons', 'value': 'Seppar, Evelin'}, {'isMajor': 'N', 'rank': 9, 'name': 'persons', 'value': 'Shaw, Caroline'}]","[{'type': 'image', 'subtype': 'xlarge', 'url': 'images/2017/11/01/arts/01PSALMS1/01PSALMS12-articleLarge.jpg', 'height': 400, 'width': 600, 'rank': 0, 'legacy': {'xlargewidth': 600, 'xlarge': 'images/2017/11/01/arts/01PSALMS1/01PSALMS12-articleLarge.jpg', 'xlargeheight': 400}}, {'type': 'image', 'subtype': 'wide', 'url': 'images/2017/11/01/arts/01PSALMS1/01PSALMS12-thumbWide.jpg', 'height': 126, 'width': 190, 'rank': 0, 'legacy': {'wide': 'images/2017/11/01/arts/01PSALMS1/01PSALMS12-thumbWide.jpg', 'widewidth': 190, 'wideheight': 126}}, {'type': 'image', 'subtype': 'thumbnail', 'url': 'images/2017/11/01/arts/01PSALMS1/01PSALMS1-thumbStandard.jpg', 'height': 75, 'width': 75, 'rank': 0, 'legacy': {'thumbnailheight': 75, 'thumbnail': 'images/2017/11/01/arts/01PSALMS1/01PSALMS1-thumbStandard.jpg', 'thumbnailwidth': 75}}]",Culture,,2017-10-31T19:20:03+0000,1.0,Music,,"Listen to pieces written by Nico Muhly, David Lang and more for the Psalms Experience, which runs through Nov. 11 at Lincoln Center.",The New York Times,News,nyt://article/af0abe9c-7ef5-57e1-ac58-54095e3521c4,https://www.nytimes.com/2017/10/31/arts/music/psalms-white-light-festival-lincoln-center.html,1026
5,59f8bbc695d0e0246f2132fb,{},{'original': 'By REUTERS'},article,"{'main': ""Netflix Suspends 'House of Cards' Production After Spacey Allegation"", 'print_headline': ""Netflix Suspends 'House of Cards' Production After Spacey Allegation""}",[],[],None,,2017-10-31T18:06:50+0000,1.0,,,"Netflix Inc indefinitely halted production of political drama ""House of Cards"" on Tuesday following an allegation of sexual misconduct against series star Kevin Spacey.",Reuters,News,nyt://article/0c5e3f0d-2ca4-5d2e-9692-da484f1377d7,https://www.nytimes.com/reuters/2017/10/31/arts/31reuters-people-kevinspacey-netflix.html,394
6,59f8b59c95d0e0246f2132e6,{},{'original': 'By HILARIE M. SHEETS'},article,"{'main': 'At 90, Still Raising the Bar for Himself — and the Other Guys', 'kicker': 'Show Us Your Wall', 'print_headline': 'At 90, Still Raising the Bar for Himself — and the Other Guys'}","[{'isMajor': 'N', 'rank': 1, 'name': 'subject', 'value': 'Art'}, {'isMajor': 'N', 'rank': 2, 'name': 'subject', 'value': 'Collectors and Collections'}, {'isMajor': 'N', 'rank': 3, 'name': 'organizations', 'value': ""Gavin Brown's Enterprise""}, {'isMajor': 'N', 'rank': 4, 'name': 'persons', 'value': 'Katz, Alex (1927- )'}, {'isMajor': 'N', 'rank': 5, 'name': 'persons', 'value': 'Munch, Edvard'}, {'isMajor': 'N', 'rank': 6, 'name': 'persons', 'value': 'Picabia, Francis'}, {'isMajor': 'N', 'rank': 7, 'name': 'persons', 'value': 'de Kooning, Willem'}, {'isMajor': 'N', 'rank': 8, 'name': 'glocations', 'value': 'SoHo (Manhattan, NY)'}]","[{'type': 'image', 'subtype': 'xlarge', 'url': 'images/2017/11/03/arts/03SHOWWALL/03SHOWWALL-articleLarge.jpg', 'height': 400, 'width': 600, 'rank': 0, 'legacy': {'xlargewidth': 600, 'xlarge': 'images/2017/11/03/arts/03SHOWWALL/03SHOWWALL-articleLarge.jpg', 'xlargeheight': 400}}, {'type': 'image', 'subtype': 'wide', 'url': 'images/2017/11/03/arts/03SHOWWALL/03SHOWWALL-thumbWide.jpg', 'height': 126, 'width': 190, 'rank': 0, 'legacy': {'wide': 'images/2017/11/03/arts/03SHOWWALL/03SHOWWALL-thumbWide.jpg', 'widewidth': 190, 'wideheight': 126}}, {'type': 'image', 'subtype': 'thumbnail', 'url': 'images/2017/11/03/arts/03SHOWWALL/03SHOWWALL-thumbStandard.jpg', 'height': 75, 'width': 75, 'rank': 0, 'legacy': {'thumbnailheight': 75, 'thumbnail': 'images/2017/11/03/arts/03SHOWWALL/03SHOWWALL-thumbStandard.jpg', 'thumbnailwidth': 75}}]",Weekend,,2017-10-31T17:40:24+0000,1.0,Art & Design,,"Alex Katz, 90, has a show at Gavin Brown’s Enterprise. At home in SoHo, his vibrant artworks harmonize with Munch, Picabia, Matisse, Marsden Hartley.",The New York Times,News,nyt://article/e62d5de8-055a-5b1f-9a06-9819d08ee456,https://www.nytimes.com/2017/10/31/arts/design/alex-katz-gavin-brown-matisse.html,746
7,59f8acfc95d0e0246f2132c8,{},{'original': 'By REUTERS'},article,"{'main': 'Activist Rose McGowan Claims Drug Case Is Attempt to Silence Her', 'print_headline': 'Activist Rose McGowan Claims Drug Case Is Attempt to Silence Her'}",[],[],None,,2017-10-31T17:03:43+0000,1.0,,,"Actress Rose McGowan, who has emerged as a prominent voice speaking out against sexual assault in Hollywood, said a months-old warrant for her arrest on drug possession charges was an attempt to silence her.",Reuters,News,nyt://article/158ca1d3-b73d-52b0-a1ba-24e385b4d28c,https://www.nytimes.com/reuters/2017/10/31/arts/31reuters-people-rosemcgowan.html,324
8,59f8a51b95d0e0246f21329f,{},{'original': 'By DANIEL McDERMON'},article,"{'main': 'Kahlil Joseph’s New Film Is Steeped in Harlem’s History. And His Own.', 'print_headline': 'Kahlil Joseph’s New Film Is Steeped in Harlem’s History. And His Own.'}","[{'isMajor': 'N', 'rank': 1, 'name': 'subject', 'value': 'Art'}, {'isMajor': 'N', 'rank': 2, 'name': 'subject', 'value': 'Movies'}, {'isMajor': 'N', 'rank': 3, 'name': 'organizations', 'value': 'New Museum of Contemporary Art'}, {'isMajor': 'N', 'rank': 4, 'name': 'persons', 'value': 'Joseph, Kahlil (1981- )'}, {'isMajor': 'N', 'rank': 5, 'name': 'subject', 'value': 'Museums'}, {'isMajor': 'N', 'rank': 6, 'name': 'persons', 'value': 'DeCarava, Roy'}, {'isMajor': 'N', 'rank': 7, 'name': 'glocations', 'value': 'Harlem (Manhattan, NY)'}]","[{'type': 'image', 'subtype': 'xlarge', 'url': 'images/2017/10/27/arts/28kahlil-joseph2/28kahlil-joseph2-articleLarge.jpg', 'height': 750, 'width': 600, 'rank': 0, 'legacy': {'xlargewidth': 600, 'xlarge': 'images/2017/10/27/arts/28kahlil-joseph2/28kahlil-joseph2-articleLarge.jpg', 'xlargeheight': 750}}, {'type': 'image', 'subtype': 'wide', 'url': 'images/2017/10/27/arts/28kahlil-joseph2/28kahlil-joseph2-thumbWide.jpg', 'height': 126, 'width': 190, 'rank': 0, 'legacy': {'wide': 'images/2017/10/27/arts/28kahlil-joseph2/28kahlil-joseph2-thumbWide.jpg', 'widewidth': 190, 'wideheight': 126}}, {'type': 'image', 'subtype': 'thumbnail', 'url': 'images/2017/10/27/arts/28kahlil-joseph2/28kahlil-joseph2-thumbStandard.jpg', 'height': 75, 'width': 75, 'rank': 0, 'legacy': {'thumbnailheight': 75, 'thumbnail': 'images/2017/10/27/arts/28kahlil-joseph2/28kahlil-joseph2-thumbStandard.jpg', 'thumbnailwidth': 75}}]",Culture,,2017-10-31T16:30:09+0000,1.0,Art & Design,,"The director Kahlil Joseph, who has worked with Beyoncé and Kendrick Lamar, presents his most personal work to date at the New Museum.",The New York Times,News,nyt://article/07932897-528a-5b07-875f-1e5970b34044,https://www.nytimes.com/2017/10/31/arts/design/kahlil-joseph-film-new-museum-fly-paper-roy-de-carava.html,1335
9,59f89f9895d0e0246f213289,{},{'original': 'By THE ASSOCIATED PRESS'},article,"{'main': 'Cynthia Nixon to Host the National Book Awards', 'print_headline': 'Cynthia Nixon to Host the National Book Awards'}",[],[],None,,2017-10-31T16:06:38+0000,1.0,,,Cynthia Nixon's new role will be on the bookish side.,AP,News,nyt://article/d18d5e80-d604-5b31-8ff4-cbdd5ccd7e8c,https://www.nytimes.com/aponline/2017/10/31/arts/ap-us-books-cynthia-nixon.html,97
