,_id,blog,byline,document_type,headline,keywords,multimedia,new_desk,print_page,pub_date,score,section_name,snippet,source,type_of_material,uri,web_url,word_count
0,59f89f9895d0e0246f21328a,{},{'original': 'By REUTERS'},article,"{'main': ""Turkey, Iran Agree to Discuss Russia's Syrian Congress Proposal"", 'print_headline': ""Turkey, Iran Agree to Discuss Russia's Syrian Congress Proposal""}",[],[],None,,2017-10-31T16:06:37+0000,1.0,Europe,"Turkey and Iran have agreed to discuss within the UN-led Geneva process Russia's proposal to convene a Syrian national dialogue congress, the three nations' delegations said in a joint statement after talks in Kazakhstan.",Reuters,News,nyt://article/6b542268-28f6-526e-9a95-9a9bbac356d6,https://www.nytimes.com/reuters/2017/10/31/world/europe/31reuters-mideast-crisis-syria-talks.html,71
1,59f89f5a95d0e0246f213285,{},{'original': 'By DAN BILEFSKY'},article,"{'main': 'A Train Called Anne Frank? German Railway Plan Prompts Outcry', 'print_headline': 'A Train Called Anne Frank? German Railway Plan Prompts Outcry'}","[{'isMajor': 'N', 'rank': 1, 'name': 'subject', 'value': 'Holocaust and the Nazi Era'}, {'isMajor': 'N', 'rank': 2, 'name': 'subject', 'value': 'High-Speed Rail Projects'}, {'isMajor': 'N', 'rank': 3, 'name': 'persons', 'value': 'Frank, Anne'}, {'isMajor': 'N', 'rank': 4, 'name': 'organizations', 'value': 'Deutsche Bahn AG'}, {'isMajor': 'N', 'rank': 5, 'name': 'glocations', 'value': 'Germany'}]","[{'type': 'image', 'subtype': 'xlarge', 'url': 'images/2017/11/01/world/01Annefrank/01Annefrank-articleLarge.jpg', 'height': 900, 'width': 600, 'rank': 0, 'legacy': {'xlargewidth': 600, 'xlarge': 'images/2017/11/01/world/01Annefrank/01Annefrank-articleLarge.jpg', 'xlargeheight': 900}}, {'type': 'image', 'subtype': 'wide', 'url': 'images/2017/11/01/world/01Annefrank/01Annefrank-thumbWide.jpg', 'height': 126, 'width': 190, 'rank': 0, 'legacy': {'wide': 'images/2017/11/01/world/01Annefrank/01Annefrank-thumbWide.jpg', 'widewidth': 190, 'wideheight': 126}}, {'type': 'image', 'subtype': 'thumbnail', 'url': 'images/2017/11/01/world/01Annefrank/01Annefrank-thumbStandard.jpg', 'height': 75, 'width': 75, 'rank': 0, 'legacy': {'thumbnailheight': 75, 'thumbnail': 'images/2017/11/01/world/01Annefrank/01Annefrank-thumbStandard.jpg', 'thumbnailwidth': 75}}]",Foreign,,2017-10-31T16:05:34+0000,1.0,Europe,"The young diarist, deported by rail to a concentration camp, was among 25 names shortlisted for new high-speed trains.",The New York Times,News,nyt://article/d4f51dce-ecd9-5f1b-b080-8e65fef9970a,https://www.nytimes.com/2017/10/31/world/europe/germany-anne-frank-train.html,605
2,59f89edb95d0e0246f213283,{},{'original': 'By REUTERS'},article,"{'main': 'Iran Says No Need to Increase Missile Range as Can Already Hit U.S. Forces', 'print_headline': 'Iran Says No Need to Increase Missile Range as Can Already Hit U.S. Forces'}",[],[],None,,2017-10-31T16:03:31+0000,1.0,Middle East,"Iran has no need to increase the range of its ballistic missiles as they could already reach U.S. forces stationed in the region, the head of the Revolutionary Guards said on Tuesday.",Reuters,News,nyt://article/92d9f050-ed8f-5c69-88fd-4e050f2db8bf,https://www.nytimes.com/reuters/2017/10/31/world/middleeast/31reuters-iran-nuclear-usa-missiles.html,280
3,59f8989895d0e0246f21326e,{},{'original': 'By THE ASSOCIATED PRESS'},article,"{'main': 'Greek Police Say DNA Links Suspect With Attack on Former PM', 'print_headline': 'Greek Police Say DNA Links Suspect With Attack on Former PM'}",[],[],None,,2017-10-31T15:36:47+0000,1.0,Europe,Greek police say DNA evidence connects a man charged with a bombing that seriously injured former Greek Prime Minister Lucas Papademos with the device used in the attack.,AP,News,nyt://article/3a0a51cb-5099-5d3e-8831-abd271e61e72,https://www.nytimes.com/aponline/2017/10/31/world/europe/ap-eu-greece-bomb-arrest.html,132
4,59f895be95d0e0246f213261,{},{'original': 'By REUTERS'},article,"{'main': ""Russia's Sochi to Host Syrian Peoples Congress on Nov. 18: RIA Cites Source"", 'print_headline': ""Russia's Sochi to Host Syrian Peoples Congress on Nov. 18: RIA Cites Source""}",[],[],None,,2017-10-31T15:24:36+0000,1.0,Middle East,"The first congress of Syrian peoples will be held in Russia's Black Sea resort of Sochi on Nov. 18, the RIA news agency cited a source close to the Astana peace talks on Syria as saying on Tuesday.",Reuters,News,nyt://article/480c8ef5-39d1-5f80-937b-fdf7c05d17b7,https://www.nytimes.com/reuters/2017/10/31/world/middleeast/31reuters-mideast-crisis-syria-russia-congress.html,63
5,59f8950895d0e0246f21325d,{},{'original': 'By REUTERS'},article,"{'main': 'Taliban Controls More Territory, Increasing Influence in Afghanistan: Watchdog', 'print_headline': 'Taliban Controls More Territory, Increasing Influence in Afghanistan: Watchdog'}",[],[],None,,2017-10-31T15:21:35+0000,1.0,Asia Pacific,"The Taliban has increased the amount of territory it has influence in or controls in Afghanistan in the past six months, a U.S. watchdog agency reported on Tuesday, a sign the security situation there remains precarious even as the United States h...",Reuters,News,nyt://article/90665567-fa48-5844-acc3-83269ddba96f,https://www.nytimes.com/reuters/2017/10/31/world/asia/31reuters-usa-afghanistan-militants.html,294
6,59f8945c95d0e0246f21325b,{},{'original': 'By REUTERS'},article,"{'main': 'A Century on, Charge of the Australian Light Cavalry Remembered in Israel', 'print_headline': 'A Century on, Charge of the Australian Light Cavalry Remembered in Israel'}",[],[],None,,2017-10-31T15:18:30+0000,1.0,Asia Pacific,"An ""Australian light horse brigade"" of history enthusiasts rode through the Israeli desert town of Beersheba on Tuesday to commemorate the 100th anniversary of a World War One cavalry charge that helped reshape the Middle East.",Reuters,News,nyt://article/975a22f2-1e4e-5df4-b4a8-776bdf8163f0,https://www.nytimes.com/reuters/2017/10/31/world/asia/31reuters-israel-memorial-cavalry.html,411
7,59f892ec95d0e0246f213258,{},{'original': 'By THE ASSOCIATED PRESS'},article,"{'main': 'Czech Leader Asks Election Winner to Form Government', 'print_headline': 'Czech Leader Asks Election Winner to Form Government'}",[],[],None,,2017-10-31T15:12:40+0000,1.0,Europe,The Czech president asked Andrej Babis on Tuesday to try to form a new government after the populist billionaire's centrist movement won parliamentary elections.,AP,News,nyt://article/79b79a92-5b63-503c-b63d-f8d7532ced0b,https://www.nytimes.com/aponline/2017/10/31/world/europe/ap-eu-czech-politics.html,349
8,59f8923b95d0e0246f213255,{},{'original': 'By REUTERS'},article,"{'main': ""Trump Has 'Warm Rapport' With Philippines' Duterte-Official"", 'print_headline': ""Trump Has 'Warm Rapport' With Philippines' Duterte-Official""}",[],[],None,,2017-10-31T15:09:36+0000,1.0,Asia Pacific,"U.S. President Donald Trump has developed a friendly relationship with Philippine President Rodrigo Duterte, a senior administration official said on Tuesday, despite Duterte's often profanity-laden tirades against the United States.",Reuters,News,nyt://article/126e54e4-ff1d-5cd3-87d5-13ed937d592e,https://www.nytimes.com/reuters/2017/10/31/world/asia/31reuters-trump-asia-duterte.html,289
9,59f8917f95d0e0246f213253,{},{'original': 'By REUTERS'},article,"{'main': ""U.S. Sees China in 'Retrenchment' on Move Toward Market Economy: U.S. Official"", 'print_headline': ""U.S. Sees China in 'Retrenchment' on Move Toward Market Economy: U.S. Official""}",[],[],None,,2017-10-31T15:06:29+0000,1.0,Asia Pacific,"The United States believes progress with China on a range of trade issues has become more difficult and Beijing appears on a ""trajectory of retrenchment,"" a senior Trump administration official said on Tuesday.",Reuters,News,nyt://article/594d12cc-056d-5cb0-b0ec-74a6f9efe4f6,https://www.nytimes.com/reuters/2017/10/31/world/asia/31reuters-trump-asia-china.html,406
